filepath,open_access,publisher,body_format,line_count,doi,pmcid,document_type,ambiguity_flag
/Users/aretesofia/IbogaineVault/1998/Mah1998_Nicotinic_Receptor_Mechanism.md,unknown,,academic-retained,121,,,in-vitro,
/Users/aretesofia/IbogaineVault/1998/Mash1998_Medication_Development_Ibogaine.md,false,Wiley,vault-analytical,98,10.1111/j.1749-6632.1998.tb08242.x,,review,
/Users/aretesofia/IbogaineVault/1998/Obach1998_CYP2D6_Ibogaine_Metabolism.md,unknown,,vault-analytical,125,,,in-vitro,
/Users/aretesofia/IbogaineVault/1998/Pablo1998_Noribogaine_MuOpioid_Agonist.md,false,Lippincott Williams & Wilkins,vault-analytical,93,10.1097/00001756-199801050-00022,,in-vitro,
/Users/aretesofia/IbogaineVault/1998/Wittier1998_Ibogaine_GeneralReview.md,true,,narrative,67,,,journalism,narrative-review
/Users/aretesofia/IbogaineVault/1999/Alper1999_Acute_Opioid_Withdrawal.md,unknown,,academic-retained,184,,,case-series,
/Users/aretesofia/IbogaineVault/1999/Glick1999_18MC_Review_CNS_Drugs.md,false,Wiley,vault-analytical,111,10.1111/j.1527-3458.1999.tb00084.x,,review,
/Users/aretesofia/IbogaineVault/1999/Maisonneuve1999_18MC_Morphine_Reinforcement.md,false,Elsevier,hybrid,190,10.1016/S0014-2999(99)00560-9,,preclinical,
/Users/aretesofia/IbogaineVault/2000/Alper2000_Ibogaine_Acute_Opioid_Withdrawal.md,false,Wiley,hybrid,120,10.1111/j.1749-6632.2000.tb06687.x,,case-series,
/Users/aretesofia/IbogaineVault/2000/Binienda2000_Electrophysiology_IBO_Cocaine.md,unknown,,academic-retained,64,,,preclinical,
/Users/aretesofia/IbogaineVault/2000/Glick2000_18-MC.md,unknown,,academic-retained,364,,,review,
/Users/aretesofia/IbogaineVault/2000/Glick2000_Legacy_African_Shrub.md,false,Wiley,vault-analytical,85,10.1111/j.1749-6632.2000.tb06677.x,,review,
/Users/aretesofia/IbogaineVault/2000/Luciano2000_Neurologic_EEG_Medical_Observations.md,unknown,,vault-analytical,91,,,case-series,
/Users/aretesofia/IbogaineVault/2000/Mash2000_Ibogaine_Pharmacokinetics_Safety.md,unknown,,hybrid,740,,,clinical-trial,
/Users/aretesofia/IbogaineVault/2000/Mundey2000_Ibogaine_18MC_Smooth_Muscle.md,true,Springer Nature,vault-analytical,99,10.1038/sj.bjp.0703227,PMC1571996,in-vitro,
/Users/aretesofia/IbogaineVault/2000/Xu2000_Ibogaine_Neuropathology_Rat_Cerebellum.md,false,Oxford University Press,vault-analytical,86,10.1093/toxsci/57.1.95,,preclinical,
/Users/aretesofia/IbogaineVault/2001/Alper2001_Contemporary_History_Ibogaine_USA_Europe.md,unknown,,academic-retained,301,,,review,
/Users/aretesofia/IbogaineVault/2001/Alper2001_Ibogaine_Review.md,unknown,,hybrid,427,,,review,
/Users/aretesofia/IbogaineVault/2001/Baumann2001_Neurobiological_Effects_Noribogaine.md,unknown,,hybrid,133,,,preclinical,
/Users/aretesofia/IbogaineVault/2001/Fernandez2001_Returning_to_the_Path_Bwiti_Ritual_Context.md,true,,vault-analytical,85,,,book-chapter,
/Users/aretesofia/IbogaineVault/2001/Frenken2001_RootsUp_INTASH_SelfHelp.md,true,,vault-analytical,91,,,book-chapter,
/Users/aretesofia/IbogaineVault/2001/Glick2001_Mechanisms_Action_Ibogaine_18MC.md,true,Elsevier,vault-analytical,126,10.1016/S0099-9598(01)56006-X,,book-chapter,
/Users/aretesofia/IbogaineVault/2001/Lotsof2001_Case_Studies_Patient_Management.md,true,Elsevier,hybrid,196,10.1016/s0099-9598(01)56020-4,,book-chapter,
/Users/aretesofia/IbogaineVault/2001/Mash2001_Ibogaine_Heroin_Withdrawal.md,true,,academic-retained,209,,,book-chapter,
/Users/aretesofia/IbogaineVault/2002/Freelander2002_Comprehensive_Review.md,true,,academic-retained,149,,,thesis,
/Users/aretesofia/IbogaineVault/2002/Marker2002_Ibogaine_Related_Fatality.md,false,EDP Sciences,vault-analytical,68,10.1051/ata/2002012,,brief-communication,
/Users/aretesofia/IbogaineVault/2003/Hoeck2003_Enantioselective_Synthesis_Iboga_Intermediates.md,unknown,,vault-analytical,80,,,research-article,
/Users/aretesofia/IbogaineVault/2004/Bastiaans2004_Life_After_Ibogaine.md,true,,academic-retained,513,,,thesis,
/Users/aretesofia/IbogaineVault/2004/Hittner2004_Ibogaine_Treatment_Recommendations_Model_Fitting.md,false,Taylor & Francis,hybrid,153,10.1080/02791072.2004.10399729,,review,
/Users/aretesofia/IbogaineVault/2005/He2005_GDNF_Ibogaine_Alcohol.md,false,Society for Neuroscience,hybrid,59,10.1523/JNEUROSCI.3959-04.2005,,preclinical,
/Users/aretesofia/IbogaineVault/2005/Kroupa2005_Boosters_Maintenance.md,unknown,,narrative,179,,,guideline,narrative-review
/Users/aretesofia/IbogaineVault/2005/Vastag2005_Ibogaine_Vast_Uncontrolled_Experiment.md,true,AAAS,vault-analytical,74,10.1126/science.308.5720.345,,journalism,
/Users/aretesofia/IbogaineVault/2006/He2006_Ibogaine_and_GDNF.md,false,FASEB,vault-analytical,169,10.1096/fj.06-6394fje,,in-vitro,
/Users/aretesofia/IbogaineVault/2006/Kontrimaviciute2006_LCMS_Method_Ibogaine_Noribogaine.md,false,Elsevier,vault-analytical,113,10.1016/j.jchromb.2006.05.035,,in-vitro,
/Users/aretesofia/IbogaineVault/2006/Kontrimaviciute2006_Tissue_Distribution_Ibogaine_Fatality.md,false,Oxford University Press,vault-analytical,90,10.1093/jat/30.7.434,,case-report,
/Users/aretesofia/IbogaineVault/2006/Maas2006_Cardiac_Fatalities_Autonomic_Dysfunction.md,false,Elsevier,vault-analytical,91,10.1016/j.mehy.2006.02.050,,commentary,
/Users/aretesofia/IbogaineVault/2006/Paskulin2006_Ibogaine_Affects_Brain_Energy_Metabolism.md,false,Elsevier,vault-analytical,64,10.1016/j.ejphar.2006.09.008,,preclinical,
/Users/aretesofia/IbogaineVault/2007/Alper2007_Ibogaine_Treatment_Addictions.md,true,Praeger/Greenwood Publishing Group,academic-retained,316,,,book-chapter,
/Users/aretesofia/IbogaineVault/2008/Alper2008_Ibogaine_Medical_Subculture.md,false,Elsevier,vault-analytical,102,10.1016/j.jep.2007.08.034,,observational,
/Users/aretesofia/IbogaineVault/2008/Cheze2008_Ibogaine_Noribogaine_LC-MSMS_Drowning_Death.md,false,Elsevier,vault-analytical,136,10.1016/j.forsciint.2007.08.013,,case-report,
/Users/aretesofia/IbogaineVault/2008/Maciulaitis2008_Ibogaine_Pharmacology_Narrative_Review.md,false,SAGE,vault-analytical,112,10.1177/0960327107087802,,review,
/Users/aretesofia/IbogaineVault/2009/Hoelen2009_Long_QT_Ibogaine.md,false,NEJM Group,vault-analytical,77,10.1056/NEJMc0804248,,case-report,
/Users/aretesofia/IbogaineVault/2009/Paskulin2009_Translated_French_Iboga_Between_Myth_Reality.md,false,Springer Nature,academic-retained,244,10.1007/s10298-009-0366-y,,review,
/Users/aretesofia/IbogaineVault/2010/Arias2010_Interactions_Ibogaine_NicotinicAChR_Human.md,unknown,,vault-analytical,104,,,in-vitro,
/Users/aretesofia/IbogaineVault/2010/Carnicella2010_Noribogaine_18MC_GDNF.md,true,Wiley,vault-analytical,96,10.1111/j.1369-1600.2010.00251.x,PMC3783954,preclinical,
/Users/aretesofia/IbogaineVault/2010/Paskulin2010_Yeast_Enzymes_Ibogaine_Adaptation_ATP.md,false,Elsevier,vault-analytical,74,10.1016/j.ejphar.2009.10.032,,in-vitro,
/Users/aretesofia/IbogaineVault/2010/Ray2010_Psychedelics_Human_Receptorome.md,true,PLoS,academic-retained,635,10.1371/journal.pone.0009019,PMC2814854,in-vitro,
/Users/aretesofia/IbogaineVault/2011/Alper2011_Ibogaine_Inhibition_AChE.md,unknown,,academic-retained,245,,,in-vitro,
/Users/aretesofia/IbogaineVault/2011/Donnelly2011_Ibogaine_Drug_Alcohol_Addiction_Legal.md,false,Taylor & Francis,vault-analytical,185,10.1080/01947648.2011.550832,,commentary,
/Users/aretesofia/IbogaineVault/2011/Houenou2011_Ibogaine_Psychosis_Schizophrenia.md,false,Lippincott Williams & Wilkins,vault-analytical,70,10.1097/JCP.0b013e31822c6509,,case-report,
/Users/aretesofia/IbogaineVault/2011/Rodger2011_SocialContext_Subcultural_DrugPolicy.md,false,Emerald Publishing,vault-analytical,121,10.1108/17459261111174037,,commentary,
/Users/aretesofia/IbogaineVault/2012/Alper2012_Ibogaine_Fatalities.md,false,Wiley,vault-analytical,127,10.1111/j.1556-4029.2011.02008.x,,systematic-review,
/Users/aretesofia/IbogaineVault/2012/Booze2012_MPC_Ibogaine_Toxicity.md,unknown,,vault-analytical,84,,,brief-communication,
/Users/aretesofia/IbogaineVault/2012/Koenig2012_Ibogaine_hERG_Cardiac_Arrhythmia_Risk.md,true,Wiley,vault-analytical,57,10.1111/j.1369-1600.2012.00447.x,PMC4888945,brief-communication,
/Users/aretesofia/IbogaineVault/2012/Paling2012_Life_Threatening_Complications.md,unknown,,academic-retained,133,,,case-report,
/Users/aretesofia/IbogaineVault/2012/Paskulin2012_Metabolic_Plasticity_Ibogaine_Economising_Energy.md,false,Elsevier,vault-analytical,84,10.1016/j.jep.2012.06.039,,in-vitro,
/Users/aretesofia/IbogaineVault/2012/Pleskovic2012_Ibogaine_Ventricular_Tachyarrhythmias.md,false,Informa Healthcare,vault-analytical,75,10.3109/15563650.2011.647031,,case-report,
/Users/aretesofia/IbogaineVault/2012/Shawn2012_Ibogaine_TdP_VT.md,false,Informa Healthcare,vault-analytical,91,10.3109/15563650.2012.700015,,case-report,
/Users/aretesofia/IbogaineVault/2012/Sisko2012_Vanishing_World_Iboga_Sustainability.md,unknown,,narrative,395,,,conference-talk,narrative-review
/Users/aretesofia/IbogaineVault/2012/Warrick2012_Ibogaine_Fatality.md,false,Informa Healthcare,vault-analytical,106,10.3109/15563650.2012.700015,,case-report,
/Users/aretesofia/IbogaineVault/2013/Antonio2013_Iboga_Alkaloids_mu-Opioid-Receptor_Coupled_G-Protein_Activation.md,true,PLoS,academic-retained,400,10.1371/journal.pone.0077262,PMC3818563,in-vitro,
/Users/aretesofia/IbogaineVault/2013/Asua2013_Ibogaine_Toxicity_UK_Case.md,false,Oxford University Press,vault-analytical,82,10.1093/bja/aet396,,case-report,
/Users/aretesofia/IbogaineVault/2013/Brown2013_Ibogaine_Treatment_Substance_Dependence.md,false,Bentham Science,vault-analytical,142,10.2174/15672050113109990001,,review,
/Users/aretesofia/IbogaineVault/2013/Cachat2013_Ibogaine_Zebrafish.md,false,Elsevier,vault-analytical,135,10.1016/j.bbr.2012.08.041,,preclinical,
/Users/aretesofia/IbogaineVault/2013/Jalal2013_Ibogaine_Death_Heroin_Case.md,false,Wiley,vault-analytical,61,10.1111/j.1521-0391.2012.00330.x,,case-report,
/Users/aretesofia/IbogaineVault/2013/Koenig2013_Ibogaine_Cardiac_Ion_Channel_Profile.md,true,Elsevier,vault-analytical,119,10.1016/j.taap.2013.05.012,PMC3853361,in-vitro,
/Users/aretesofia/IbogaineVault/2013/Mazoyer2013_Fatality_Case.md,false,Wiley,vault-analytical,100,10.1111/1556-4029.12250,,case-report,
/Users/aretesofia/IbogaineVault/2013/Papadodima2013_Ibogaine_Sudden_Death_Case.md,false,Elsevier,vault-analytical,63,10.1016/j.jflm.2013.06.032,,case-report,
/Users/aretesofia/IbogaineVault/2014/Kingsley-Brown2014_Ibo_Tx_for_Substance_Dependence.md,unknown,,academic-retained,436,,,commentary,
/Users/aretesofia/IbogaineVault/2014/Prior2014_Ibogaine_Cocaine_Pilot_RCT.md,unknown,,vault-analytical,98,,,clinical-trial,
/Users/aretesofia/IbogaineVault/2014/Schenberg2014_Treating_Drug_Dependence_Retrospective_Study.md,false,SAGE,vault-analytical,128,10.1177/0269881114552713,,observational,
/Users/aretesofia/IbogaineVault/2014/Thurner2014_hERG_Channel_Block_Ibogaine.md,false,ASPET,vault-analytical,94,10.1124/jpet.113.209643,,in-vitro,
/Users/aretesofia/IbogaineVault/2014/Vlaanderen2014_Cardiac_Arrest_Ibogaine.md,false,Informa Healthcare,vault-analytical,66,10.3109/15563650.2014.927477,,case-report,
/Users/aretesofia/IbogaineVault/2015/Breuer2015_Herbal_Seizures_Case_Report.md,true,BioMed Central,academic-retained,241,10.1186/s13256-015-0731-4,PMC4628299,case-report,
/Users/aretesofia/IbogaineVault/2015/Gassaway2015_Iboga_Alkaloid_Skeleton_GDNF_Release.md,false,American Chemical Society,vault-analytical,71,10.1021/acschembio.5b00678,,in-vitro,
/Users/aretesofia/IbogaineVault/2015/Glue2015_Ibogaine_CYP2D6_Activity.md,false,Wiley,vault-analytical,80,10.1002/jcph.471,,clinical-trial,
/Users/aretesofia/IbogaineVault/2015/Glue2015_Noribogaine_Ascending_Doses.md,false,Wiley,vault-analytical,107,10.1002/jcph.404,,clinical-trial,
/Users/aretesofia/IbogaineVault/2015/Hildyard2015_QT_Prolongation_TdP_Ibogaine.md,false,Elsevier,vault-analytical,85,10.1016/j.jemermed.2015.06.051,,case-report,
/Users/aretesofia/IbogaineVault/2015/Koenig2015_Cardiac_Mechanisms.md,true,MDPI,hybrid,462,10.3390/molecules20022208,PMC4382526,review,
/Users/aretesofia/IbogaineVault/2015/Marta2015_Ibogaine_Mania_Case_Reports.md,false,Wiley,vault-analytical,121,10.1111/ajad.12209,,case-series,
/Users/aretesofia/IbogaineVault/2015/Nikolic-Kokic2015_ExVivo_Ibogaine_Antioxidative_Enzymes_Human_Erythrocytes.md,false,Elsevier,vault-analytical,91,10.1016/j.jep.2015.01.037,,in-vitro,
/Users/aretesofia/IbogaineVault/2015/OConnell2015_Internet_Ibogaine_Toxicity.md,false,Elsevier,vault-analytical,76,10.1016/j.ajem.2014.12.023,,case-report,
/Users/aretesofia/IbogaineVault/2016/Alper2016_hERG_Blockade.md,false,Springer Nature,vault-analytical,108,10.1007/s12012-015-9311-5,,in-vitro,
/Users/aretesofia/IbogaineVault/2016/Belgers2016_Ibogaine_Addiction_Animal_Model_Review_Meta-analysis.md,true,Springer Nature,academic-retained,530,10.1038/tp.2016.71,PMC5545647,systematic-review,
/Users/aretesofia/IbogaineVault/2016/CloutierGill2016_Ibogaine_OUD_Case_Report.md,true,Taylor & Francis,vault-analytical,85,10.1080/02791072.2016.1180467,PMC4993099,case-report,
/Users/aretesofia/IbogaineVault/2016/Forsyth2016_Low_Dose_Ibogaine_Mood_State_Psychological_Performance.md,false,Elsevier,vault-analytical,92,10.1016/j.jep.2016.05.022,,clinical-trial,
/Users/aretesofia/IbogaineVault/2016/Glue2016_Noribogaine_Opioid_Patients_Safety.md,false,Wiley,vault-analytical,122,10.1002/cpdd.254,,clinical-trial,
/Users/aretesofia/IbogaineVault/2016/Glue2016b_Methadone_Morphine_Switch.md,false,Wiley,vault-analytical,86,10.1002/jcph.704,,clinical-trial,
/Users/aretesofia/IbogaineVault/2016/Litjens2016_How_Toxic_Is_Ibogaine.md,false,Informa Healthcare,vault-analytical,124,10.3109/15563650.2016.1138226,,review,
/Users/aretesofia/IbogaineVault/2016/Mash2016_Oral_Noribogaine_High_Brain_Uptake_Anti-WD_Effects.md,false,SAGE,hybrid,128,10.1177/0269881116641331,,preclinical,
/Users/aretesofia/IbogaineVault/2016/Meisner2016_Cardiac_Arrest_Death_Case.md,true,SAGE,academic-retained,164,10.1177/2045125315626073,PMC4837967,case-report,
/Users/aretesofia/IbogaineVault/2016/Schep2016_Ibogaine_Safe_Dose.md,false,Elsevier,vault-analytical,78,10.1016/j.drugalcdep.2016.07.005,,review,
/Users/aretesofia/IbogaineVault/2017/Davis2017_Ibogaine_Opioid_Outcomes.md,true,Akadémiai Kiadó,vault-analytical,110,10.1556/2054.01.2017.009,PMC6157925,observational,
/Users/aretesofia/IbogaineVault/2017/DosSantos2017_Antiaddictive_Ibogaine_Systematic_Review.md,false,Akadémiai Kiadó,vault-analytical,92,10.1556/2054.01.2016.001,,systematic-review,
/Users/aretesofia/IbogaineVault/2017/Heink2017_Phenomenology_Ibogaine_ASC.md,false,Taylor & Francis,vault-analytical,227,10.1080/02791072.2017.1290855,,qualitative,
/Users/aretesofia/IbogaineVault/2017/Henstra2017_Ibogaine_Noribogaine_Toxicokinetics_Cardiac.md,false,Taylor & Francis,vault-analytical,85,10.1080/15563650.2017.1287372,,case-report,
/Users/aretesofia/IbogaineVault/2017/Lavaud2017_Iboga_Alkaloids_Chemistry_Review.md,false,Springer Nature,vault-analytical,141,10.1007/978-3-319-49712-9_2,,review,
/Users/aretesofia/IbogaineVault/2017/Noller2017_Ibogaine_Opioid_12Month_Outcomes.md,false,Taylor & Francis,vault-analytical,117,10.1080/00952990.2017.1310218,,observational,
/Users/aretesofia/IbogaineVault/2017/Rubi2017_hERG_iPSC_Cardiomyocytes.md,true,Springer Nature,academic-retained,175,10.1007/s12012-016-9366-y,PMC5334404,in-vitro,
/Users/aretesofia/IbogaineVault/2017/Wilkins2017_Methadone_Low_Dose.md,false,Akadémiai Kiadó,academic-retained,153,10.1556/2054.01.2017.005,,case-report,
/Users/aretesofia/IbogaineVault/2018/Bading-Taika2018_Phytochemicals_Iboga_RB_Effects_Dysfunctional_Metabolism_Cognitive_Performance_Mice.md,unknown,Food Science Publisher,academic-retained,346,10.31665/JFB.2018.3154,,preclinical,
/Users/aretesofia/IbogaineVault/2018/Barsuglia2018_SPECT_Ibogaine_5-Meo-DMT_Alcohol_Use_Disorder.md,false,Elsevier,vault-analytical,99,10.1016/bs.pbr.2018.08.002,,case-report,
/Users/aretesofia/IbogaineVault/2018/Brown2018_OUD_Detoxification_Outcomes.md,false,Taylor & Francis,vault-analytical,248,10.1080/00952990.2017.1320802,,observational,
/Users/aretesofia/IbogaineVault/2018/Camlin2018_Phenomenological_Ibogaine_Opioid_Use.md,false,Akadémiai Kiadó,hybrid,226,10.1556/2054.2018.004,,qualitative,
/Users/aretesofia/IbogaineVault/2018/Corkery2018_Ibogaine_Benefits_Dangers_Fatalities.md,true,Elsevier,vault-analytical,119,10.1016/bs.pbr.2018.08.005,,book-chapter,
/Users/aretesofia/IbogaineVault/2018/Davis2018_Mixed_Method_Persisting_Effects.md,true,Taylor & Francis,vault-analytical,81,10.1080/02791072.2018.1487607,PMC6247813,observational,
/Users/aretesofia/IbogaineVault/2018/Gonzalez2018_Ibogaine_Rats_Wakefulness_REM_Suppression.md,true,Frontiers,academic-retained,324,10.3389/fphar.2018.00374,PMC5934978,preclinical,
/Users/aretesofia/IbogaineVault/2018/Knuijver2018_HPPD_Ibogaine_Case_Report.md,false,Lippincott Williams & Wilkins,vault-analytical,80,10.1097/JCP.0000000000000966,,case-report,
/Users/aretesofia/IbogaineVault/2018/Ly2018_Psychedelics_Neural_Plasticity.md,true,Elsevier,vault-analytical,75,10.1016/j.celrep.2018.05.022,PMC6082376,in-vitro,
/Users/aretesofia/IbogaineVault/2018/Malcolm2018_Opioid_Withdrawal_Craving_Ibogaine.md,false,Taylor & Francis,vault-analytical,118,10.1080/02791072.2018.1447175,,observational,
/Users/aretesofia/IbogaineVault/2018/Mash2018_Ibogaine_Detox_Opioid_Cocaine_Clinical_Observations_Tx_Outcomes.md,true,Frontiers,academic-retained,412,10.3389/fphar.2018.00529,PMC5996271,observational,
/Users/aretesofia/IbogaineVault/2018/Orescanin-Dusic2018_Ibogaine_Uterine_Smooth_Muscle_Contractions_Relation_to_Antioxidant_Enzymes.md,true,Hindawi,academic-retained,332,10.1155/2018/5969486,PMC5828116,in-vitro,
/Users/aretesofia/IbogaineVault/2018/Rodger2018_Healing_Potential_Ibogaine.md,false,Wiley,vault-analytical,110,10.1111/anoc.12088,,qualitative,
/Users/aretesofia/IbogaineVault/2018/Steinberg2018_Cardiac_Arrest_Case.md,true,Wiley,academic-retained,160,10.1002/joa3.12061,PMC6111465,case-report,
/Users/aretesofia/IbogaineVault/2018/Wasko2018_Ibogaine_DARK_Classics_in_Chemical_Neuroscience.md,false,American Chemical Society,vault-analytical,99,10.1021/acschemneuro.8b00294,,review,
/Users/aretesofia/IbogaineVault/2019/Bouso2019_Product_Quality.md,true,SciELO,academic-retained,294,10.1590/0101-60830000000231,,observational,
/Users/aretesofia/IbogaineVault/2019/Brown2019_Ibogaine_Subjective_Experience_OUD.md,false,Taylor & Francis,hybrid,207,10.1080/02791072.2019.1598603,,observational,
/Users/aretesofia/IbogaineVault/2019/Coleman2019_SERT-Ibogaine_Complexes_Illuminate_Inhibition_Transport_Mechanisms.md,true,Springer Nature,academic-retained,565,10.1038/s41586-019-1135-1,PMC6750207,in-vitro,
/Users/aretesofia/IbogaineVault/2019/Grogan2019_Seizures_QT_Prolongation_Cardiac.md,false,Elsevier,vault-analytical,86,10.1016/j.jemermed.2019.06.052,,case-report,
/Users/aretesofia/IbogaineVault/2019/Iyer2019_Iboga_Enigma_Chemistry_Neuropharmacology_Alkaloids_Analogs.md,true,Royal Society of Chemistry,vault-analytical,140,10.1039/d0np00033g,PMC7882011,review,
/Users/aretesofia/IbogaineVault/2019/Marton2019_Ibogaine_GDNF_BDNF.md,true,Frontiers,academic-retained,460,10.3389/fphar.2019.00193,PMC6411846,preclinical,
/Users/aretesofia/IbogaineVault/2020/Barber2020_Consumer_Views_Online_Fora.md,false,Elsevier,vault-analytical,120,10.1016/j.drugpo.2020.102857,,qualitative,
